# SIMULATION OUTPUT
# i, j, thmin, thmax, f_bal, mean, std_dev, ks_p_value
11 13 35.0000 25.0000      nan 0.0000e+00 0.0000e+00      nan
11 14 35.0000 20.0000      nan 0.0000e+00 0.0000e+00      nan
11 15 35.0000 15.0000      nan 0.0000e+00 0.0000e+00      nan
11 16 35.0000 10.0000      nan 0.0000e+00 0.0000e+00      nan
11 17 35.0000 5.0000      nan 0.0000e+00 0.0000e+00      nan
12 0 30.0000 90.0000 8.6689e-01 1.5381e+02 2.6979e+03 5.1900e-04
12 1 30.0000 85.0000 8.5294e-01 3.6002e+01 5.2566e+01 3.1024e-03
12 2 30.0000 80.0000 8.3797e-01 2.8217e+01 3.9119e+01 1.5830e-02
12 3 30.0000 75.0000 8.2194e-01 2.2017e+01 3.0910e+01 5.2696e-03
12 4 30.0000 70.0000 7.9732e-01 2.0967e+01 2.1034e+01 3.4856e-02
12 5 30.0000 65.0000 7.6805e-01 1.8944e+01 2.2727e+01 2.1131e-02
12 6 30.0000 60.0000 7.3037e-01 1.5569e+01 2.9537e+01 4.9213e-05
12 7 30.0000 55.0000 6.8638e-01 1.7403e+01 2.0610e+01 1.8573e-02
12 8 30.0000 50.0000 6.2796e-01 1.6895e+01 1.6446e+01 1.1067e-01
12 9 30.0000 45.0000 5.3294e-01 1.4842e+01 1.6564e+01 3.1201e-02
12 10 30.0000 40.0000 4.2981e-01 1.5516e+01 1.4111e+01 3.3184e-02
12 11 30.0000 35.0000 2.5776e-01 1.7554e+01 1.4740e+01 4.8205e-02
12 12 30.0000 30.0000      nan 0.0000e+00 0.0000e+00      nan
12 13 30.0000 25.0000      nan 0.0000e+00 0.0000e+00      nan
12 14 30.0000 20.0000      nan 0.0000e+00 0.0000e+00      nan
12 15 30.0000 15.0000      nan 0.0000e+00 0.0000e+00      nan
12 16 30.0000 10.0000      nan 0.0000e+00 0.0000e+00      nan
12 17 30.0000 5.0000      nan 0.0000e+00 0.0000e+00      nan
13 0 25.0000 90.0000 9.0373e-01 9.6437e+02 9.9393e+04 1.1128e-03
13 1 25.0000 85.0000 9.0098e-01 3.6645e+01 5.8006e+01 4.3548e-03
13 2 25.0000 80.0000 8.8286e-01 3.0026e+01 3.7807e+01 3.3546e-03
13 3 25.0000 75.0000 8.7404e-01 2.6199e+01 2.7148e+01 3.3555e-03
13 4 25.0000 70.0000 8.5782e-01 2.3774e+01 2.6028e+01 1.1163e-02
13 5 25.0000 65.0000 8.3624e-01 2.0240e+01 2.0063e+01 3.7964e-02
13 6 25.0000 60.0000 8.1311e-01 1.8603e+01 1.6475e+01 4.6324e-02
13 7 25.0000 55.0000 7.7681e-01 1.5398e+01 2.2221e+01 1.5212e-03
13 8 25.0000 50.0000 7.3472e-01 1.7773e+01 1.7231e+01 1.1979e-01
13 9 25.0000 45.0000 6.8447e-01 1.2383e+01 1.8936e+01 5.5305e-04
13 10 25.0000 40.0000 6.0715e-01 1.5669e+01 1.2641e+01 2.1313e-02
13 11 25.0000 35.0000 4.7159e-01 1.4038e+01 1.6684e+01 1.5397e-02
13 12 25.0000 30.0000 2.9759e-01 1.4640e+01 1.7939e+01 1.0654e-02
13 13 25.0000 25.0000      nan 0.0000e+00 0.0000e+00      nan
13 14 25.0000 20.0000      nan 0.0000e+00 0.0000e+00      nan
13 15 25.0000 15.0000      nan 0.0000e+00 0.0000e+00      nan
13 16 25.0000 10.0000      nan 0.0000e+00 0.0000e+00      nan
13 17 25.0000 5.0000      nan 0.0000e+00 0.0000e+00      nan
14 0 20.0000 90.0000 9.3615e-01 1.3396e+02 1.3788e+04 8.8345e-03
14 1 20.0000 85.0000 9.3431e-01 3.6826e+01 5.3148e+01 1.6243e-03
14 2 20.0000 80.0000 9.2584e-01 2.7794e+01 3.1622e+01 4.5729e-03
14 3 20.0000 75.0000 9.2125e-01 2.3939e+01 3.2353e+01 1.2352e-02
14 4 20.0000 70.0000 9.0921e-01 1.9957e+01 2.8011e+01 4.9563e-03
14 5 20.0000 65.0000 8.9461e-01 2.1856e+01 1.9375e+01 7.1143e-03
14 6 20.0000 60.0000 8.7666e-01 1.9513e+01 1.8633e+01 4.4659e-02
14 7 20.0000 55.0000 8.5633e-01 1.7209e+01 1.8071e+01 7.3268e-02
14 8 20.0000 50.0000 8.3231e-01 1.7029e+01 1.9384e+01 3.1965e-02
14 9 20.0000 45.0000 7.9934e-01 1.5555e+01 1.6534e+01 5.2838e-02
14 10 20.0000 40.0000 7.4730e-01 1.5964e+01 1.8931e+01 1.7999e-02
14 11 20.0000 35.0000 6.6641e-01 1.4466e+01 1.6395e+01 2.6523e-02
14 12 20.0000 30.0000 5.4855e-01 1.3589e+01 1.2303e+01 1.0908e-02
14 13 20.0000 25.0000 3.5928e-01 1.2560e+01 1.7154e+01 3.2526e-03
14 14 20.0000 20.0000      nan 0.0000e+00 0.0000e+00      nan
14 15 20.0000 15.0000      nan 0.0000e+00 0.0000e+00      nan
14 16 20.0000 10.0000      nan 0.0000e+00 0.0000e+00      nan
14 17 20.0000 5.0000      nan 0.0000e+00 0.0000e+00      nan
15 0 15.0000 90.0000 9.6608e-01 1.2687e+02 2.7494e+03 3.8613e-04
15 1 15.0000 85.0000 9.6268e-01 3.8001e+01 5.1389e+01 6.9838e-04
15 2 15.0000 80.0000 9.5863e-01 2.9744e+01 3.8080e+01 6.6595e-03
15 3 15.0000 75.0000 9.5332e-01 2.2981e+01 3.0570e+01 1.6230e-02
15 4 15.0000 70.0000 9.4671e-01 2.1678e+01 2.8148e+01 1.2934e-02
15 5 15.0000 65.0000 9.3854e-01 2.0724e+01 2.2891e+01 5.2046e-02
15 6 15.0000 60.0000 9.3109e-01 1.7018e+01 2.1390e+01 1.0331e-02
15 7 15.0000 55.0000 9.2179e-01 1.6316e+01 2.1972e+01 3.9503e-03
15 8 15.0000 50.0000 9.0295e-01 1.5835e+01 1.8110e+01 2.6027e-02
15 9 15.0000 45.0000 8.8471e-01 1.6200e+01 1.6590e+01 7.8939e-02
15 10 15.0000 40.0000 8.5633e-01 1.6925e+01 1.6031e+01 8.6313e-02
15 11 15.0000 35.0000 8.0948e-01 1.4458e+01 1.3184e+01 1.6542e-02
15 12 15.0000 30.0000 7.4587e-01 1.3993e+01 1.6182e+01 1.9430e-02
15 13 15.0000 25.0000 6.4000e-01 1.3365e+01 1.3206e+01 1.2567e-02
15 14 15.0000 20.0000 4.3571e-01 1.3839e+01 1.2723e+01 1.3904e-02
15 15 15.0000 15.0000      nan 0.0000e+00 0.0000e+00      nan
15 16 15.0000 10.0000      nan 0.0000e+00 0.0000e+00      nan
15 17 15.0000 5.0000      nan 0.0000e+00 0.0000e+00      nan
